BAIRRO,PREÇO POR METRO,UNIDADES RESIDENCIAIS,ÍNDICE DE PRESSÃO,ÁREA TERRITORIAL DISPONÍVEL,SCORE FINAL,RENDA MENSAL,ÍNDICE DE ACESSIBILIDADE
Tanque,26.45,5942,1.131,1155738,1.716,3440.91,0.38
Engenho de Dentro,31.65,16654,1.05,1856856,1.857,4320.24,0.37
Piedade,23.35,11980,1.052,414532,1.362,3184.36,0.37
Laranjeiras,86.45,19761,1.128,216449,1.262,12070.62,0.36
Brás de Pina,18.3,13117,1.034,402500,1.348,2560.06,0.36
Leblon,136.95,22244,1.185,73218,1.128,18852.38,0.36
Olaria,27.6,15376,1.047,352640,1.326,3896.67,0.35
Del Castilho,25.25,5441,1.137,321941,1.341,3592.66,0.35
Jardim América,21.3,6313,1.097,223535,1.258,3041.17,0.35
Anil,37.1,10877,1.098,614694,1.483,5369.67,0.35
Bonsucesso,26.8,7383,1.105,175780,1.222,3917.38,0.34
Osvaldo Cruz,23.3,8344,1.078,144150,1.186,3408.1,0.34
Marechal Hermes,22.2,9598,1.063,424495,1.372,3385.05,0.33
Praça Seca,24.8,16312,1.038,2290394,1.95,3712.21,0.33
Flamengo,74.5,25506,1.083,30889,1.042,11383.51,0.33
Jardim Botânico,108.4,6789,1.494,421699,1.555,16256.81,0.33
Engenheiro Leal,16.950000000000003,1135,1.461,97596,1.217,2628.93,0.32
Humaitá,88.3,6964,1.39,197026,1.323,13811.53,0.32
Cachambi,35.349999999999994,13204,1.075,76274,1.112,5501.64,0.32
São Conrado,96.2,3910,1.766,2269698,2.666,15460.84,0.31
Quintino Bocaiúva,21.5,8565,1.07,209404,1.239,3451.27,0.31
Portuguesa,30.7,6950,1.13,23031,1.03,5167.89,0.3
Ramos,21.6,10417,1.056,190054,1.22,3603.62,0.3
Pechincha,39.2,12647,1.088,294368,1.305,6664.13,0.29
Riachuelo,25.4,5127,1.147,179589,1.237,4313.61,0.29
Penha Circular,20.4,12340,1.043,5772935,2.564,3464.51,0.29
Freguesia (Jacarepaguá),46.1,22038,1.056,1211889,1.681,7864.41,0.29
Higienópolis,21.5,5083,1.124,42367,1.069,3831.74,0.28
Vila Isabel,38.4,27838,1.034,311784,1.297,6915.71,0.28
Jardim Sulacap,30.9,4760,1.195,3833378,2.455,5617.33,0.28
Abolição,23.75,3821,1.186,20761,1.029,4351.76,0.27
Barra da Tijuca,87.85,61796,1.035,15409715,3.587,16629.92,0.26
Recreio dos Bandeirantes,59.6,47152,1.03,19171173,3.881,11580.85,0.26
Tijuca,48.2,49028,1.021,687909,1.474,9426.29,0.26
Méier,35.3,16931,1.056,38355,1.053,6844.58,0.26
Senador Vasconcelos,12.6,4470,1.079,2971862,2.14,2475.62,0.25
Vila Valqueire,27.9,12381,1.061,650275,1.479,5847.21,0.24
Maracanã,46.6,11655,1.116,46457,1.075,9694.16,0.24
Ribeira,32.1,1491,1.669,56619,1.178,6857.41,0.23
Todos os Santos,27.6,8051,1.099,124045,1.171,7053.52,0.2
Lagoa,81.05,9094,1.271,71335,1.14,20440.67,0.2
Grajaú,33.3,13807,1.066,400681,1.361,8350.43,0.2
Gávea,53.2,6414,1.252,488794,1.492,14686.65,0.18
Andaraí,23.65,12440,1.05,151016,1.185,6496.65,0.18
Vista Alegre,14.2,2763,1.152,12291,1.001,4517.68,0.16
Botafogo,40.8,37501,1.025,274254,1.27,12769.53,0.16
Vaz Lobo,10.35,2860,1.105,190086,1.234,3400.44,0.15
Jardim Guanabara,22.9,11615,1.053,134343,1.171,9863.93,0.12
Joá,23.7,390,2.906,408597,2.138,12857.17,0.09
