BAIRRO,codbairro,codbnum,regiao_adm,codra,ra,rp,cod_rp,ap,area_plane,valor médio em salários mínimos,valor mediano em salários mínimos
Ribeira,91,91,ILHA DO GOVERNADOR,20,XX Ilha do Governador,Ilha do Governador,3.7,Área de Planejamento 3,3,4.35916151,4.856592409
Zumbi,92,92,ILHA DO GOVERNADOR,20,XX Ilha do Governador,Ilha do Governador,3.7,Área de Planejamento 3,3,4.563884076,4.596575908
Cacuia,93,93,ILHA DO GOVERNADOR,20,XX Ilha do Governador,Ilha do Governador,3.7,Área de Planejamento 3,3,2.411182225,1.982367987
Pitangueiras,94,94,ILHA DO GOVERNADOR,20,XX Ilha do Governador,Ilha do Governador,3.7,Área de Planejamento 3,3,2.17864934,1.470882838
Praia da Bandeira,95,95,ILHA DO GOVERNADOR,20,XX Ilha do Governador,Ilha do Governador,3.7,Área de Planejamento 3,3,4.06559781,3.321683168
Cocotá,96,96,ILHA DO GOVERNADOR,20,XX Ilha do Governador,Ilha do Governador,3.7,Área de Planejamento 3,3,3.562743858,3.586848185
Bancários,97,97,ILHA DO GOVERNADOR,20,XX Ilha do Governador,Ilha do Governador,3.7,Área de Planejamento 3,3,2.368553218,2.296076733
Freguesia (Ilha),98,98,ILHA DO GOVERNADOR,20,XX Ilha do Governador,Ilha do Governador,3.7,Área de Planejamento 3,3,2.835770149,2.644290429
Jardim Guanabara,99,99,ILHA DO GOVERNADOR,20,XX Ilha do Governador,Ilha do Governador,3.7,Área de Planejamento 3,3,6.914359861,6.985882838
Jardim Carioca,100,100,ILHA DO GOVERNADOR,20,XX Ilha do Governador,Ilha do Governador,3.7,Área de Planejamento 3,3,2.324811077,2.061328383
Tauá,101,101,ILHA DO GOVERNADOR,20,XX Ilha do Governador,Ilha do Governador,3.7,Área de Planejamento 3,3,2.216936764,1.615585809
Moneró,102,102,ILHA DO GOVERNADOR,20,XX Ilha do Governador,Ilha do Governador,3.7,Área de Planejamento 3,3,4.851225837,4.954773102
Portuguesa,103,103,ILHA DO GOVERNADOR,20,XX Ilha do Governador,Ilha do Governador,3.7,Área de Planejamento 3,3,3.943544232,3.660033003
Galeão,104,104,ILHA DO GOVERNADOR,20,XX Ilha do Governador,Ilha do Governador,3.7,Área de Planejamento 3,3,2.030625056,1.450882838
Cidade Universitária,105,105,ILHA DO GOVERNADOR,20,XX Ilha do Governador,Ilha do Governador,3.7,Área de Planejamento 3,3,2.635958746,2.113844884
Guadalupe,106,106,ANCHIETA,22,XXII Anchieta,Pavuna,3.6,Área de Planejamento 3,3,1.979423053,2.065222772
Anchieta,107,107,ANCHIETA,22,XXII Anchieta,Pavuna,3.6,Área de Planejamento 3,3,1.620932572,1.607297855
Parque Anchieta,108,108,ANCHIETA,22,XXII Anchieta,Pavuna,3.6,Área de Planejamento 3,3,2.204414615,2.119933993
Ricardo de Albuquerque,109,109,ANCHIETA,22,XXII Anchieta,Pavuna,3.6,Área de Planejamento 3,3,1.686314514,1.690024752
Coelho Neto,110,110,PAVUNA,25,XXV Pavuna,Pavuna,3.6,Área de Planejamento 3,3,1.696762789,1.714240924
Acari,111,111,PAVUNA,25,XXV Pavuna,Pavuna,3.6,Área de Planejamento 3,3,1.13791535,1.102037954
Barros Filho,112,112,PAVUNA,25,XXV Pavuna,Pavuna,3.6,Área de Planejamento 3,3,1.422351908,1.290313531
Costa Barros,113,113,PAVUNA,25,XXV Pavuna,Pavuna,3.6,Área de Planejamento 3,3,1.229525505,1.162953795
Pavuna,114,114,PAVUNA,25,XXV Pavuna,Pavuna,3.6,Área de Planejamento 3,3,1.757306564,1.712433993
Jacarepaguá,115,115,JACAREPAGUA,16,XVI Jacarepaguá,Jacarepaguá,4.1,Área de Planejamento 4,4,2.186711296,1.40279703
Anil,116,116,JACAREPAGUA,16,XVI Jacarepaguá,Jacarepaguá,4.1,Área de Planejamento 4,4,3.984033456,3.802937294
Gardênia Azul,117,117,JACAREPAGUA,16,XVI Jacarepaguá,Jacarepaguá,4.1,Área de Planejamento 4,4,1.773469155,1.459117162
Cidade de Deus,118,118,CIDADE DE DEUS,34,XXXIV Cidade de Deus,Jacarepaguá,4.1,Área de Planejamento 4,4,1.372620965,1.311419142
Curicica,119,119,JACAREPAGUA,16,XVI Jacarepaguá,Jacarepaguá,4.1,Área de Planejamento 4,4,2.291736424,2.352854785
Freguesia (Jacarepaguá),120,120,JACAREPAGUA,16,XVI Jacarepaguá,Jacarepaguá,4.1,Área de Planejamento 4,4,5.649812307,5.569777228
Pechincha,121,121,JACAREPAGUA,16,XVI Jacarepaguá,Jacarepaguá,4.1,Área de Planejamento 4,4,4.719019495,4.719707096
Taquara,122,122,JACAREPAGUA,16,XVI Jacarepaguá,Jacarepaguá,4.1,Área de Planejamento 4,4,3.39703119,3.077739274
Tanque,123,123,JACAREPAGUA,16,XVI Jacarepaguá,Jacarepaguá,4.1,Área de Planejamento 4,4,2.712578988,2.436938944
Praça Seca,124,124,JACAREPAGUA,16,XVI Jacarepaguá,Jacarepaguá,4.1,Área de Planejamento 4,4,2.667651379,2.629084158
Vila Valqueire,125,125,JACAREPAGUA,16,XVI Jacarepaguá,Jacarepaguá,4.1,Área de Planejamento 4,4,4.067292315,4.141142739
Joá,126,126,BARRA DA TIJUCA,24,XXIV Barra da Tijuca,Barra da Tijuca,4.2,Área de Planejamento 4,4,9.105775578,9.105775578
Itanhangá,127,127,BARRA DA TIJUCA,24,XXIV Barra da Tijuca,Barra da Tijuca,4.2,Área de Planejamento 4,4,2.971176734,1.711146865
