BAIRRO,PREÇO POR METRO,UNIDADES RESIDENCIAIS,ÍNDICE DE PRESSÃO,ÁREA TERRITORIAL DISPONÍVEL,MAGNITUDE,INDICE_INFORMALIDADE,RENDA MENSAL,TAXA DE ESFORÇO,LATITUDE,LONGITUDE,RISCO_TARGET,RISCO ALTO
Taquara,34.91111111111111,32719,1.009,3174771,2.139,0.0706956461840135,4655.31,0.37,-22.9218864,-43.384646,0,0.75
Praça Seca,25.33333333333333,16312,1.015,2290394,1.962,0.4689956461885199,3976.69,0.32,-22.8992621,-43.3527794,0,0.75
Leblon,154.65,22244,1.078,73218,1.123,0.0,20195.51,0.38,-22.9834608,-43.2249656,0,0.75
Jardim Botânico,97.84999999999998,6789,1.165,421699,1.437,0.05797261977090088,17415.02,0.28,-22.9636362,-43.2233457,0,0.5
Cavalcanti,21.65,3773,1.064,687778,1.522,0.2978185143740514,2826.08,0.38,-22.8705266,-43.3165261,0,0.5
Glória,153.85833333333335,4798,1.371,19044,1.054,0.0,8148.03,0.94,-22.9183225,-43.1739232,0,0.5
Padre Miguel,17.75,9958,1.017,1236081,1.689,0.2984517140279072,2795.06,0.32,-22.8788135,-43.4485569,0,0.5
Centro,97.72222222222224,22557,1.047,106265,1.157,0.0008870709751811345,5090.52,0.96,-22.2800004,-42.5325303,0,0.5
Del Castilho,44.68611111111111,5441,1.092,321941,1.344,0.19159837040251473,3848.61,0.58,-22.8795618,-43.2724202,0,0.5
Vigário Geral,21.355555555555554,4909,1.047,657873,1.499,0.43685861516443203,2393.85,0.45,-22.8095333,-43.3097039,0,0.5
Sampaio,31.655555555555555,2022,1.179,156219,1.241,0.2591710885331258,3268.17,0.48,-22.9022287,-43.2602402,0,0.5
Penha,38.08888888888889,14944,1.026,1060606,1.639,0.2554340108422152,3089.56,0.62,-22.8381127,-43.2764454,0,0.25
Engenho da Rainha,26.133333333333336,4228,1.069,814235,1.577,0.1862043808766207,2965.45,0.44,-22.8626496,-43.2937874,0,0.25
Honório Gurgel,29.716666666666665,4540,1.073,349627,1.354,0.21818591771823087,2844.32,0.52,-22.8465751,-43.3561294,0,0.25
Jacaré,26.5,1899,1.16,41416,1.086,0.07449671662047758,2142.79,0.62,-22.8931174,-43.2571998,0,0.25
Cordovil,31.819444444444443,9568,1.035,575130,1.456,0.11021501149847986,2390.03,0.67,-22.8194378,-43.2915908,0,0.25
Engenheiro Leal,14.325,1135,1.144,97596,1.168,0.347294139128004,2816.22,0.25,-22.8743923,-43.3255315,0,0.25
Quintino Bocaiúva,25.133333333333336,8565,1.031,209404,1.245,0.06784083913483967,3697.15,0.34,-22.8955889,-43.3253269,0,0.25
Curicica,29.31111111111112,6261,1.051,1058481,1.656,0.18696699361439773,3558.87,0.41,-22.9519909,-43.3872901,0,0.25
Vaz Lobo,23.161111111111108,2860,1.091,190086,1.247,0.2779533031601229,3642.7,0.32,-22.8589721,-43.3278646,0,0.25
Jardim Guanabara,30.88888888888889,11615,1.028,134343,1.181,0.011115712453453674,10566.68,0.15,-22.8128362,-43.2007792,0,0.0
Humaitá,93.32222222222224,6964,1.153,197026,1.272,0.012099565183338159,14795.53,0.32,-22.9546413,-43.2004797,0,0.0
Botafogo,84.66666666666667,37501,1.023,274254,1.288,0.0561561018367217,13679.29,0.31,-22.9515096,-43.1862969,0,0.0
Andaraí,44.13333333333333,12440,1.038,151016,1.199,0.36150436802889013,6959.5,0.32,-22.9290845,-43.2534858,0,0.0
Anil,34.84444444444444,10877,1.034,614694,1.473,0.19460244810706176,5752.23,0.3,-22.9558133,-43.3384123,0,0.0
Cachambi,37.15277777777778,13204,1.029,76274,1.118,0.018700168189820437,5893.61,0.32,-22.8897728,-43.2743347,0,0.0
Pilares,19.788888888888888,6903,1.03,104684,1.151,0.24485047671189053,3281.44,0.3,-22.8790904,-43.2955477,0,0.0
Vila Isabel,44.35277777777778,27838,1.015,311784,1.309,0.2867735769505675,7408.42,0.3,-22.9166993,-43.2508354,0,0.0
Vila Valqueire,25.46111111111111,12381,1.021,650275,1.482,0.05099494572597325,6263.79,0.2,-22.8886093,-43.3657758,0,0.0
Benfica,7.9,4151,1.019,131164,1.175,0.2467507975818847,2337.67,0.17,-22.8922965,-43.240341,0,0.0
Cosme Velho,38.2,1717,1.256,163167,1.269,0.21013903501913322,10977.76,0.17,-22.9415143,-43.2006244,0,0.0
Marechal Hermes,21.375,9598,1.023,424495,1.376,0.19726546992183672,3626.21,0.29,-22.8599658,-43.3704561,0,0.0
Freguesia (Jacarepaguá),47.18888888888889,22038,1.022,1211889,1.685,0.0734502873652216,8424.71,0.28,-22.9408899,-43.3422564,0,0.0
Vista Alegre,19.95,2763,1.081,12291,1.007,0.0,4839.54,0.21,-22.8296244,-43.3151276,0,0.0
Abolição,25.647222222222226,3821,1.075,20761,1.031,0.0,4661.8,0.28,-22.8861614,-43.2998457,0,0.0
Grajaú,49.2,13807,1.038,400681,1.37,0.06193991201280812,8945.35,0.28,-22.9225217,-43.2645145,0,0.0
