objectid,cod_favela,nome,situacao,cod_comple,complexo,data_cadas,cod_bairro,bairro,cod_ra,ra,cod_rp,rp,cod_ap,pop_sabren,dom_sabren,fonte,upp,cod_bair_1,area,shape_Length,shape_Area
398,693,Parque Nova Cidade de Acari,1,2075,Bairro da Pedreira,2002/04/02 00:00:00+00,114,Pavuna,25,Pavuna,3.6,Pavuna,3,1354,539,IPP com base em IBGE - Censo Demográfico 2022,,114,75050.05419217,3676.74513584641,75050.0541921431
399,692,Vila Jurema 1,2,0,Isolada,2002/04/16 00:00:00+00,139,Realengo,33,Realengo,5.1,Bangu,5,269,112,IPP com base em IBGE - Censo Demográfico 2022,,139,11789.7137986,528.115710036844,11789.7137986474
400,613,Comunidade Jardim Paulista,1,2139,Três Pontes,1995/06/13 00:00:00+00,148,Paciência,19,Santa Cruz,5.3,Santa Cruz,5,389,175,IPP com base em IBGE - Censo Demográfico 2022,,148,15704.18727805,534.872162007041,15704.187278005
401,691,Alto Kennedy,1,2116,Alto Kennedy,2002/04/16 00:00:00+00,141,Bangu,17,Bangu,5.1,Bangu,5,3254,1218,IPP com base em IBGE - Censo Demográfico 2022,,141,129811.21318336,4615.43532254837,129811.213183339
402,690,Retiro das Mangueiras,1,2118,Fazenda Coqueiro,2002/05/27 00:00:00+00,141,Bangu,17,Bangu,5.1,Bangu,5,2445,873,IPP com base em IBGE - Censo Demográfico 2022,,141,65141.10755029,1298.57461577602,65141.1075502424
403,689,Castor de Andrade,1,2116,Alto Kennedy,2002/04/16 00:00:00+00,141,Bangu,17,Bangu,5.1,Bangu,5,75,37,IPP com base em IBGE - Censo Demográfico 2022,,141,6008.99217087,442.536779571149,6008.99217088697
404,688,Loteamento Josué,2,0,Isolada,2002/03/12 00:00:00+00,118,Cidade de Deus,34,Cidade de Deus,4.1,Jacarepaguá,4,743,294,IPP com base em IBGE - Censo Demográfico 2022,,118,17037.68066215,932.124023016834,17037.6806620265
405,684,Rua Sem Nome,2,0,Isolada,2002/04/21 00:00:00+00,143,Santíssimo,18,Campo Grande,5.2,Campo Grande,5,315,121,IPP com base em IBGE - Censo Demográfico 2022,,143,26344.79835708,2363.50035412203,26344.798357073
406,683,Vila São Sebastião,1,2072,Vila São Sebastião,2002/04/08 00:00:00+00,107,Anchieta,22,Anchieta,3.6,Pavuna,3,433,169,IPP com base em IBGE - Censo Demográfico 2022,,107,13922.82946437,564.535704450983,13922.8294643323
407,682,Retiro do Lameirão,1,2129,Nova Esperança (RA - Campo Grande),2002/04/18 00:00:00+00,143,Santíssimo,18,Campo Grande,5.2,Campo Grande,5,923,340,IPP com base em IBGE - Censo Demográfico 2022,,143,51404.88071839,1117.97054438188,51404.8802496635
408,681,Nova Esperança (RA - Campo Grande),1,2129,Nova Esperança (RA - Campo Grande),2002/04/18 00:00:00+00,143,Santíssimo,18,Campo Grande,5.2,Campo Grande,5,1244,436,IPP com base em IBGE - Censo Demográfico 2022,,143,56600.19048482,1591.52010596979,56600.190484936
409,677,Vila Nova da Pavuna,1,2082,Vila Nova da Pavuna,2002/04/04 00:00:00+00,114,Pavuna,25,Pavuna,3.6,Pavuna,3,845,320,IPP com base em IBGE - Censo Demográfico 2022,,114,35541.69139804,2775.3419268925,35541.691398228
410,678,Quitanda,1,2080,Quitanda,2002/04/08 00:00:00+00,113,Costa Barros,25,Pavuna,3.6,Pavuna,3,3163,1231,IPP com base em IBGE - Censo Demográfico 2022,,113,139293.62688245,5802.39856316053,139293.626882637
411,676,Vila Amaral,1,2082,Vila Nova da Pavuna,2002/04/04 00:00:00+00,114,Pavuna,25,Pavuna,3.6,Pavuna,3,475,190,IPP com base em IBGE - Censo Demográfico 2022,,114,23399.52454245,999.098354835002,23399.5245425265
412,663,Servidão D,2,0,Isolada,2002/03/27 00:00:00+00,132,Recreio dos Bandeirantes,24,Barra da Tijuca,4.2,Barra da Tijuca,4,1,1,IPP com base em IBGE - Censo Demográfico 2022,,132,1171.46287777,232.158690527371,1171.46287775003
413,670,Parque Nova Maracá,1,2037,Parque Nova Maracá,2002/04/01 00:00:00+00,56,Tomás Coelho,12,Inhaúma,3.4,Inhaúma,3,1554,676,IPP com base em IBGE - Censo Demográfico 2022,,056,123735.211595,2517.40783824091,123735.211594951
414,669,Parque Itambé,1,2027,Parque Itambé,2002/04/01 00:00:00+00,41,Ramos,10,Ramos,3.1,Ramos,3,2023,864,IPP com base em IBGE - Censo Demográfico 2022,,041,36591.12155848,874.16877795122,36591.1215584759
415,668,"Rua André Rocha, nº 2.630 B",2,0,Isolada,2002/03/20 00:00:00+00,122,Taquara,16,Jacarepaguá,4.1,Jacarepaguá,4,57,36,IPP com base em IBGE - Censo Demográfico 2022,,122,6723.85670621,380.232848483572,6723.85670618945
