BAIRRO,PREÇO POR METRO,UNIDADES RESIDENCIAIS,ÍNDICE DE PRESSÃO,ÁREA TERRITORIAL DISPONÍVEL,SCORE FINAL,INDICE_INFORMALIDADE,RENDA MENSAL,ÍNDICE DE ACESSIBILIDADE
Campinho,39.3,2269,1.22,128962,1.22,0.08436564994076798,4241.52,0.46
Madureira,29.9,12583,1.027,700308,1.504,0.1178482889463523,3436.78,0.44
Engenho Novo,34.8,13788,1.029,605366,1.465,0.1238849964726839,3993.23,0.44
Curicica,31.5,6261,1.061,1058481,1.66,0.07548152497426665,3558.87,0.44
Inhoaíba,19.8,6730,1.034,2708309,2.071,0.1357200315243759,2271.0,0.44
Brás de Pina,23.6,13117,1.019,402500,1.361,0.10145293773201644,2742.46,0.43
Encantado,31.7,4667,1.084,35902,1.064,0.016702516761675973,3644.5,0.43
Piedade,28.7,11980,1.027,414532,1.371,0.09775613354675562,3411.23,0.42
Vargem Pequena,33.75,6648,1.062,10011496,3.188,0.015506239893090499,4046.68,0.42
Irajá,32.8,26601,1.012,800951,1.535,0.023268437746637734,4042.14,0.41
Vigário Geral,19.1,4909,1.047,657873,1.497,0.17636671496555703,2393.85,0.4
Cocotá,43.8,1665,1.337,69549,1.163,0.019682495423607314,5425.38,0.4
Cavalcanti,21.2,3773,1.069,687778,1.522,0.12023403273460377,2826.08,0.38
Tanque,27.95,5942,1.057,1155738,1.691,0.08956860397702232,3686.06,0.38
Leblon,154.8,22244,1.086,73218,1.123,0.0,20195.51,0.38
Paciência,17.95,15477,1.011,14841011,3.548,0.07068455229660842,2358.03,0.38
Praça da Bandeira,47.25,3486,1.172,16642,1.027,0.0,6393.94,0.37
Taquara,34.7,32719,1.01,3174771,2.137,0.028540947682006393,4655.31,0.37
Realengo,21.3,29277,1.006,3747851,2.237,0.02839722748763898,2929.08,0.36
Jardim Carioca,22.1,4125,1.066,225559,1.266,0.1025260758476048,3117.92,0.35
Campo Grande,26.65,89855,1.0,26645069,4.401,0.01487380730333084,3814.09,0.35
Osvaldo Cruz,25.3,8344,1.035,144150,1.19,0.0,3650.91,0.35
Vargem Grande,25.5,3521,1.09,15572315,3.821,0.007526364805011542,3622.3,0.35
Pavuna,18.2,18951,1.009,2044400,1.897,0.11890027161675502,2590.19,0.35
Bangu,18.4,45129,1.001,15392945,3.569,0.04462817787000245,2620.63,0.35
Flamengo,86.30000000000001,25506,1.04,30889,1.049,0.01308767988574368,12194.52,0.35
Engenho de Dentro,31.2,16654,1.02,1856856,1.861,0.02501028568905637,4628.03,0.34
Guadalupe,21.0,10160,1.023,413963,1.369,0.13522191887378657,3123.81,0.34
Olaria,28.8,15376,1.02,352640,1.333,0.12443125013398472,4174.29,0.34
Jardim América,22.0,6313,1.041,223535,1.257,0.014976555712661417,3257.84,0.34
Quintino Bocaiúva,24.700000000000003,8565,1.034,209404,1.244,0.027388417037889846,3697.15,0.33
Vila da Penha,36.9,9996,1.044,18140,1.02,0.0,5564.43,0.33
Padre Miguel,18.25,9958,1.02,1236081,1.689,0.12048966542442914,2795.06,0.33
Abolição,29.4,3821,1.096,20761,1.032,0.0,4661.8,0.32
Vaz Lobo,23.4,2860,1.102,190086,1.249,0.11221413356750416,3642.7,0.32
Anil,36.4,10877,1.04,614694,1.474,0.07856407841236991,5752.23,0.32
Maria da Graça,26.0,2777,1.117,12964,1.011,0.0,4083.68,0.32
Vila Isabel,48.0,27838,1.018,311784,1.308,0.1157750172482162,7408.42,0.32
Botafogo,85.5,37501,1.026,274254,1.287,0.02267110424842157,13679.29,0.31
Grajaú,54.9,13807,1.048,400681,1.372,0.025006119663779157,8945.35,0.31
Lins de Vasconcelos,25.5,9058,1.033,498043,1.416,0.0,4191.57,0.3
Bento Ribeiro,24.05,9612,1.029,239241,1.264,0.010366526443414988,3980.06,0.3
Praça Seca,22.9,16312,1.014,2290394,1.959,0.18934094139424082,3976.69,0.29
Freguesia (Jacarepaguá),49.1,22038,1.025,1211889,1.685,0.02965303978497573,8424.71,0.29
Pechincha,41.5,12647,1.039,294368,1.305,0.01848949508079695,7138.92,0.29
Higienópolis,23.1,5083,1.055,42367,1.072,0.027830459754865887,4104.73,0.28
Praia da Bandeira,28.5,2155,1.167,74329,1.14,0.0,5024.3,0.28
Riachuelo,26.2,5127,1.062,179589,1.229,0.0,4620.93,0.28
Penha Circular,20.1,12340,1.017,5772935,2.571,0.05901067307999086,3711.33,0.27
Bonsucesso,22.4,7383,1.035,175780,1.218,0.018434970180019276,4196.47,0.27
Humaitá,80.35,6964,1.146,197026,1.268,0.004884785351191458,14795.53,0.27
Marechal Hermes,19.55,9598,1.023,424495,1.374,0.07963918233169336,3626.21,0.27
Cachambi,31.7,13204,1.027,76274,1.116,0.007549552918169365,5893.61,0.27
Méier,39.2,16931,1.026,38355,1.061,0.0019181016340270285,7332.22,0.27
Todos os Santos,39.95,8051,1.06,124045,1.177,0.0012674957918959212,7556.04,0.26
Gávea,79.0,6414,1.156,488794,1.47,0.01579524426524668,15733.0,0.25
Tijuca,49.85,49028,1.009,687909,1.489,0.09914102547568883,10097.87,0.25
Recreio dos Bandeirantes,60.25,47152,1.013,19171173,3.912,0.017211814509075975,12405.92,0.24
Barra da Tijuca,86.6,61796,1.014,15409715,3.605,0.00022075517568468303,17814.71,0.24
Urca,73.3,2186,1.43,7355,1.008,0.005451123306181311,15250.62,0.24
Pilares,14.8,6903,1.024,104684,1.149,0.09885000028939035,3281.44,0.23
Lagoa,98.4,9094,1.136,71335,1.13,0.0,21896.96,0.22
Maracanã,45.1,11655,1.046,46457,1.077,0.0,10384.81,0.22
Jardim Sulacap,25.2,4760,1.065,3833378,2.329,0.0017616136177674986,6017.53,0.21
Vila Valqueire,25.6,12381,1.023,650275,1.481,0.020587464102434044,6263.79,0.2
Jardim Botânico,70.1,6789,1.13,421699,1.42,0.023404461196427757,17415.02,0.2
Jardim Guanabara,22.25,11615,1.021,134343,1.177,0.0044875884825562986,10566.68,0.11
