BAIRRO,PREÇO POR METRO,UNIDADES RESIDENCIAIS,ÍNDICE DE PRESSÃO,ÁREA TERRITORIAL DISPONÍVEL,SCORE FINAL,INDICE_INFORMALIDADE,RENDA MENSAL,ÍNDICE DE ACESSIBILIDADE
Vidigal,189.8,614,5.0,273701,2.687,0.19614983873339245,2180.9,4.35
Camorim,123.95,4199,1.378,1682679,2.129,0.009834813753325051,2044.91,3.03
Santo Cristo,115.25,3911,1.378,177515,1.316,0.008181014812683983,2795.97,2.06
Mangueira,53.2,926,1.74,100513,1.297,0.403715776325421,1751.65,1.52
Estácio,72.3,3814,1.242,36829,1.086,0.12969663924882938,2756.2,1.31
Cidade Nova,67.85,1960,1.445,345756,1.498,0.0,2612.06,1.3
Colégio,65.55,4520,1.184,231194,1.309,0.10242139633151467,2545.26,1.29
Santa Teresa,107.2,10266,1.131,453588,1.438,0.06612156111782133,4452.81,1.2
Inhaúma,64.7,9125,1.088,437197,1.41,0.04322327401930107,2751.68,1.18
Centro,110.75,22557,1.06,106265,1.158,0.00035812454740104683,5090.52,1.09
Cacuia,63.5,1978,1.412,117543,1.251,0.04342488651500851,2998.48,1.06
Glória,162.1,4798,1.434,19044,1.059,0.0,8148.03,0.99
Itanhangá,50.5,4513,1.141,4401808,2.537,0.048800589780946396,2588.24,0.98
Jacarepaguá,41.35,36857,1.011,33775508,4.881,0.032546379109813436,2121.84,0.97
Cordovil,42.8,9568,1.054,575130,1.464,0.044495538929824024,2390.03,0.9
Saúde,68.5,717,2.234,25248,1.165,0.0,3952.27,0.87
Leme,198.6,5762,1.443,15232,1.045,0.12371059846748989,13824.53,0.72
Ramos,54.5,10417,1.064,190054,1.238,0.03181034078292053,3860.36,0.71
Del Castilho,54.5,5441,1.126,321941,1.356,0.07735128484973681,3848.61,0.71
Tauá,33.599999999999994,4377,1.096,155547,1.217,0.23039195547648048,2443.7,0.69
Santa Cruz,30.35,40897,1.006,23345294,4.198,0.019516712983507233,2231.4,0.68
Penha,41.45,14944,1.032,1060606,1.641,0.10312273998708094,3089.56,0.67
São Cristóvão,52.45,9018,1.071,357971,1.357,0.0,4017.77,0.65
Sampaio,42.2,2022,1.266,156219,1.262,0.1046314572082553,3268.17,0.65
Rio Comprido,39.35,8898,1.053,433382,1.392,0.1569063498519481,3101.17,0.63
Guaratiba,28.55,15864,1.019,35276898,5.0,0.019298303151504645,2283.13,0.63
Cascadura,39.9,8761,1.055,507252,1.431,0.10414498917614137,3236.21,0.62
Engenho da Rainha,35.4,4228,1.105,814235,1.597,0.0751736461807993,2965.45,0.6
Rocha,34.3,5730,1.074,69275,1.116,0.0,2902.54,0.59
Tomás Coelho,31.7,6819,1.056,710011,1.525,0.15462275437118647,2758.79,0.57
São Francisco Xavier,52.7,2924,1.23,234010,1.326,0.11883459732801456,4653.59,0.57
Laranjeiras,142.75,19761,1.09,216449,1.267,0.019185857042974173,12930.58,0.55
Parada de Lucas,25.4,5906,1.052,115747,1.166,0.1184920385817338,2342.36,0.54
Santíssimo,28.4,4875,1.072,4539029,2.463,0.07246133384837189,2709.51,0.52
Vila Kosmos,32.2,4514,1.089,274414,1.31,0.07066481829637074,3131.46,0.51
Cosmos,24.5,13755,1.019,4516781,2.383,0.04687908494310461,2411.32,0.51
Copacabana,110.45,75872,1.015,217411,1.244,0.0461067448020414,11850.98,0.47
Ipanema,172.45,21788,1.099,10130,1.0,0.021900442315395847,18604.77,0.46
