BAIRRO,PREÇO POR METRO
Abolição,29.4
Anil,36.4
Bangu,18.4
Barra da Tijuca,86.6
Bento Ribeiro,24.049999999999997
Bonsucesso,22.4
Botafogo,85.5
Brás de Pina,23.6
Cachambi,31.7
Cacuia,63.5
Camorim,123.94999999999999
Campinho,39.3
Campo Grande,26.65
Cascadura,39.9
Cavalcanti,21.2
Centro,110.75
Cidade Nova,67.85
Cocotá,43.8
Colégio,65.55
Copacabana,110.45
Cordovil,42.8
Cosmos,24.5
Curicica,31.5
Del Castilho,54.5
Encantado,31.7
Engenho Novo,34.8
Engenho da Rainha,35.4
Engenho de Dentro,31.2
Estácio,72.3
Flamengo,86.30000000000001
Freguesia (Jacarepaguá),49.1
Glória,162.1
Grajaú,54.9
Guadalupe,21.0
Guaratiba,28.55
Gávea,79.0
Higienópolis,23.1
Humaitá,80.35
Ilha do Governador,34.9
Inhaúma,64.7
Inhoaíba,19.8
Ipanema,172.45
Irajá,32.8
Itanhangá,50.5
Jacarepaguá,41.35
Jardim América,22.0
Jardim Botânico,70.1
Jardim Carioca,22.1
Jardim Guanabara,22.25
Jardim Sulacap,25.2
Lagoa,98.4
Lapa,87.1
Laranjeiras,142.75
Leblon,154.8
Leme,198.6
Lins de Vasconcelos,25.5
Madureira,29.9
Mangueira,53.2
Maracanã,45.1
Marechal Hermes,19.55
Maria da Graça,26.0
Méier,39.2
Olaria,28.8
Osvaldo Cruz,25.3
Paciência,17.95
Padre Miguel,18.25
Parada de Lucas,25.4
Pavuna,18.2
Pechincha,41.5
Penha,41.45
Penha Circular,20.1
Piedade,28.7
Pilares,14.8
Praca da Bandeira,65.4
Praia da Bandeira,28.5
Praça Seca,22.9
Praça da Bandeira,47.25
Quintino Bocaiúva,24.700000000000003
Ramos,54.5
Rcr Bandeirantes,73.2
Realengo,21.3
Recreio dos Bandeirantes,60.25
Riachuelo,26.2
Rio Comprido,39.35
Rocha,34.3
Sampaio,42.2
Santa Cruz,30.35
Santa Teresa,107.2
Santo Cristo,115.25
Santíssimo,28.4
Saúde,68.5
São Cristóvão,52.45
São Francisco Xavier,52.7
Tanque,27.95
Taquara,34.7
Tauá,33.599999999999994
Tijuca,49.849999999999994
Todos os Santos,39.95
Tomás Coelho,31.7
Urca,73.3
Vargem Grande,25.5
Vargem Pequena,33.75
Vaz Lobo,23.4
Vidigal,189.8
Vigário Geral,19.1
Vila Isabel,48.0
Vila Kosmos,32.2
Vila Valqueire,25.6
Vila da Penha,36.9
