BAIRRO,PREÇO POR METRO,UNIDADES RESIDENCIAIS,ÍNDICE DE PRESSÃO,ÁREA TERRITORIAL DISPONÍVEL,SCORE FINAL,INDICE_INFORMALIDADE,RENDA MENSAL,ÍNDICE DE ACESSIBILIDADE
Brás de Pina,19.2,13117,1.013,402500,1.362,0.10145293773201644,2742.46,0.35
Campo Grande,27.0,89855,1.0,26645069,4.415,0.01487380730333084,3814.09,0.35
Irajá,28.2,26601,1.008,800951,1.537,0.023268437746637734,4042.14,0.35
Vaz Lobo,24.1,2860,1.09,190086,1.249,0.11221413356750416,3642.7,0.33
Marechal Hermes,24.2,9598,1.025,424495,1.379,0.07963918233169336,3626.21,0.33
Santíssimo,17.75,4875,1.037,4539029,2.42,0.07246133384837189,2709.51,0.33
Cachambi,37.2,13204,1.028,76274,1.12,0.007549552918169365,5893.61,0.32
Vila Isabel,47.7,27838,1.016,311784,1.311,0.1157750172482162,7408.42,0.32
Campinho,26.9,2269,1.129,128962,1.202,0.08436564994076798,4241.52,0.32
Ipanema,120.05,21788,1.058,10130,1.0,0.021900442315395847,18604.77,0.32
Penha Circular,24.1,12340,1.018,5772935,2.58,0.05901067307999086,3711.33,0.32
Anil,36.2,10877,1.034,614694,1.476,0.07856407841236991,5752.23,0.31
Vila da Penha,34.6,9996,1.035,18140,1.022,0.0,5564.43,0.31
Grajaú,55.900000000000006,13807,1.042,400681,1.374,0.025006119663779157,8945.35,0.31
Abolição,27.75,3821,1.078,20761,1.033,0.0,4661.8,0.3
Tijuca,58.4,49028,1.01,687909,1.494,0.09914102547568883,10097.87,0.29
Andaraí,39.8,12440,1.032,151016,1.199,0.14594501658381415,6959.5,0.29
Bento Ribeiro,22.0,9612,1.022,239241,1.266,0.010366526443414988,3980.06,0.28
Vila Kosmos,17.6,4514,1.04,274414,1.296,0.07066481829637074,3131.46,0.28
Todos os Santos,41.15,8051,1.054,124045,1.179,0.0012674957918959212,7556.04,0.27
Freguesia (Jacarepaguá),46.0,22038,1.02,1211889,1.687,0.02965303978497573,8424.71,0.27
Pechincha,38.85,12647,1.031,294368,1.306,0.01848949508079695,7138.92,0.27
Vista Alegre,25.7,2763,1.1,12291,1.01,0.0,4839.54,0.27
Recreio dos Bandeirantes,66.1,47152,1.012,19171173,3.921,0.017211814509075975,12405.92,0.27
Maracanã,51.25,11655,1.046,46457,1.08,0.0,10384.81,0.25
Jardim Sulacap,29.25,4760,1.065,3833378,2.336,0.0017616136177674986,6017.53,0.24
Lagoa,103.9,9094,1.124,71335,1.131,0.0,21896.96,0.24
Barra da Tijuca,86.5,61796,1.012,15409715,3.611,0.00022075517568468303,17814.71,0.24
Méier,34.9,16931,1.02,38355,1.063,0.0019181016340270285,7332.22,0.24
Jardim Guanabara,45.6,11615,1.04,134343,1.186,0.0044875884825562986,10566.68,0.22
Moneró,33.0,2032,1.177,17288,1.033,0.0,7494.47,0.22
Vila Valqueire,26.8,12381,1.021,650275,1.484,0.020587464102434044,6263.79,0.21
